recipe,preptime,cooktime,cuisine,course,diet,ingredients
Goan Style Sando Recipe (Steamed Rice Cakes Filled With Sweet Coconut),480,15,Goan Recipes,Dessert,Vegetarian,"1 1/2 cup Red matta rice - parboiled,3/4 cup Basmati rice,1/4 cup White Urad Dal (Split),1 cup Coconut milk - or toddy,3 tablespoon Sugar,1 teaspoon Active dry yeast,Salt - to taste,1/2 cup Fresh coconut - Grated,1/2 cup Jaggery,1 Cardamom (Elaichi) Pods/Seeds"
"Til Moongphali Aur Kundru Sabzi Recipe - Sesame, Peanuts And Ivy Gourd Stir Fry",10,10,Indian,Side Dish,Vegetarian,"400 grams Tindora (Dondakaya/ Kovakkai) - sliced to roundels,2 teaspoons Sunflower Oil,1/2 teaspoon Mustard seeds,2 Dry Red Chillies,2 sprig Curry leaves,2 tablespoons Raw Peanuts (Moongphali) - coarsely ground,2 teaspoons Sesame seeds (Til seeds) - roasted,1/2 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 pinch Turmeric powder (Haldi),Salt - to taste"
Asian Style Honey Soy Sticky Chicken Recipe,15,40,Continental,Appetizer,Non Vegeterian,"1/2 Chicken - Thighs/Wings,2 Tablespoon Soy sauce,1.5 Tablespoon Honey,1/2 Tablespoon Vinegar,1 teaspoon Garlic - Minced,1 teaspoon Ginger - Grated,1 teaspoon Sesame (Gingelly) Oil - or Olive Oil,Salt - to taste,1 teaspoon Black pepper powder,Sesame seeds (Til seeds) - for garnishing"
Kaigari Pirattal Recipe (Chettinad Style Mixed Vegetables),15,20,Tamil Nadu,Lunch,Vegetarian,"1/2 cup Cauliflower (gobi) - broken into small florets,1/4 cup Green beans (French Beans) - cut into one-inch pieces,1/4 cup Carrots (Gajjar) - cut into inch long pieces,2 Potatoes (Aloo) - cut into cubes,1 Onion - sliced,2 teaspoons Sunflower Oil,1 teaspoon Mustard seeds,1 sprig Curry leaves,1/2 cup Fresh coconut - grated,2 Dry Red Chillies,1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf)"
Pomegranate Frozen Margarita Recipe,10,10,Continental,Vegetarian,Vegetarian,"300 ml Pomegranate juice - freshly squeezed,1/4 cup Fresh orange juice,Lemon juice - from 2 lemons,10 to 12 Ice cubes,Fresh Pomegranate Fruit Kernels - for garnish,Salt - for rimming the glass (Margarita Salt,400 ml Pomegranate juice - freshly squeezed,1/4 cup Lemon juice,1/3 cup Tequila,1/8 cup Triple sec,Fresh Pomegranate Fruit Kernels - for garnish,10 to 12 Ice cubes,Salt - for rimming the glass (Margarita Salt"
Chinese Egg Fried Rice Recipe With Oats,10,30,Fusion,Dinner,Eggetarian,"2 cups Brown Rice - cooked,80 grams Rolled Oats Or Instant Oats,3 Whole Eggs,2 Spring Onion Greens - finely chopped,2 Carrots (Gajjar) - finely chopped,12 Green beans (French Beans) - finely chopped,1 cup Cabbage (Patta Gobi/ Muttaikose) - finely chopped,1 teaspoon Sunflower Oil,Salt and Pepper - to taste"
Matar Besan and Paneer Cheela Recipe - Matar Besan and Paneer Cheela Recipe,10,30,North Indian Recipes,North Indian Breakfast,Vegetarian,"1 cup green peas - boil, 1 cup gram flour, 1/2 cup cheese - tighten, 1 tsp ginger - chopped, 2 green chillies - finely chopped, 1/2 tsp turmeric powder, 1/2 tsp Cumin powder, 1/2 teaspoon salt, 2 oil - as per use"
Leftover Roti Cutlet Recipe,20,20,Indian,Snack,Vegetarian,"4 Phulka,2 cup Potato (Aloo) - mashed,2-3 Green Chillies - finely chopped,1 cup Carrot (Gajjar) - grated,1/2 cup Sweet corn - mashed,1 cup Onion - finely chopped,1 teaspoon Red Chilli powder,Salt - to taste,1/2 tablespoon Amchur (Dry Mango Powder),1/2 tablespoon Black pepper powder,1/2 tablespoon Red Chilli flakes,1 tablespoon Lemon juice,1 cup Whole Wheat Bread crumbs,1 tablespoon Corn flour"
Flourless Orange Cake With Cream Cheese Frosting Recipe,20,70,Continental,Dessert,Eggetarian,"3 Oranges - peeled,2 tablespoons Orange Zest (Rind),3 tablespoons Sugar,6 Whole Eggs,175 grams Caster Sugar,150 grams Almond Meal (Badam Powder),100 grams Hazelnut Meal (Powder),1 teaspoon Baking powder,200 grams Britannia Cream Cheese,3 tablespoons Heavy whipping cream,3 tablespoons Fresh orange juice,75 grams Icing Sugar"
Spicy Paneer Bhurji Pav Sandwich Recipe - Breakfast Recipe,15,20,North Indian Recipes,Dinner,High Protein Vegetarian,"1 tablespoon Sunflower Oil,1 teaspoon Ginger - grated,1 Green Chilli - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Red Chilli powder,2 cups Paneer (Homemade Cottage Cheese) - crumpled,1 tablespoon Coriander (Dhania) Leaves - chopped,Salt - to taste,4 Pav buns - roasted in butter"
Asian Style Baby Corn With Sesame Seeds and Peanut Sauce Recipe,10,90,Asian,Appetizer,Vegetarian,"15 Baby corn - cut into length wise,250 grams Tofu - or paneer,1/2 cup Water,1/4 cup Corn flour,Rice flour - as required,Salt - as required,Sunflower Oil - as required,1 Red Yellow and Green Bell Peppers (Capsicum) - sliced,2 teaspoon Light soy sauce,1 teaspoon Garlic - paste,1.5 teaspoon Fresh Red Chilli - paste,1 teaspoon Rice Vinegar,1 teaspoon Honey,1/2 teaspoon Salt,1 tablespoon Sunflower Oil,1/2 cup Onion - minced,1 teaspoon Garlic - minced,1/3 cup Raw Peanuts (Moongphali) - salted and powdered,1-1/4 cup Fresh orange juice,1-1/2 tablespoons Orange marmalade jam,1 tablespoon Corn flour,1 tablespoon Paprika powder,1/2 cup Spring Onion (Bulb & Greens) - finely chopped,2 teaspoons Sesame seeds (Til seeds) - roasted"
Papaya and Carrot Halwa Recipe,10,40,North Indian Recipes,Dessert,Vegetarian,"4 cups Papaya - peeled and grated,1 cup Carrot (Gajjar) - grated,1/2 cup Sugar,3/4 cup Milk,1/2 teaspoon Cardamom Powder (Elaichi),2 Saffron strands,2 tablespoons Badam (Almond) - sliced,1/4 cup Ghee"
Phalguni Dal (Recipe),10,20,Bengali Recipes,Lunch,High Protein Vegetarian,"1/4 cup lentils - wash, 1/4 cup green peas, 1 cup onion - finely chopped, 1 tomato - finely chopped, 1/2 inch ginger - grated, 2 cloves garlic - grated, 2 green chillies - Cut, 1/2 teaspoon turmeric powder, salt - as per taste, 1 teaspoon mustard, 1/2 teaspoon fenugreek seeds, 1/2 teaspoon cumin seeds, 1/2 teaspoon aniseed, 1/2 teaspoon Kalonji seeds, 1 teaspoon garam masala powder, 2 teaspoons mustard oil, asafetida - a pinch"
Soft Millet Taco Recipe Topped With Hummus & Veggies,20,40,Middle Eastern,World Breakfast,Diabetic Friendly,"1/2 cup Jowar Flour (Sorghum),1/2 cup Bajra Flour ( Pearl Millet),3/4 cup Whole Wheat Flour,Salt - to taste,Sunflower Oil,1/2 cup Homemade Hummus,1 tablespoon Butter,1 cup Broccoli - cut into small florets,1 cup Cherry tomatoes - slit into half,1 Onion - sliced,4 cloves Garlic - finely chopped,1 teaspoon Sugar,1 teaspoon Black pepper powder,1 teaspoon Cumin powder (Jeera),Salt - to taste"
Sprouted Moong And Onion Fritters Recipe,15,15,Indian,Snack,Vegetarian,"1/2 cup Gram flour (besan),2 tablespoon Rice flour,1/4 cup Green Moong Sprouts,1 Onion - thinly sliced,2 tablespoon Coriander (Dhania) Leaves - finely chopped,2 Green Chillies - finely chopped,1/4 teaspoon Ginger - grated,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,1/2 teaspoon Lemon juice,Salt - to taste,Red Chilli powder - to taste,Sunflower Oil - to deep fry"
Lemon And Ginger Spicy Black Eyed Beans Recipe,5,40,Mexican,Side Dish,High Protein Vegetarian,"1 cup Black Eyed Beans (Lobia) - soaked in water overnight,1 Onion - chopped,3 cloves Garlic - minced,1 Red Yellow or Green Bell Pepper (Capsicum) - finely chopped,2 Tomatoes - blanched,2 inch Ginger - julienned (fine),1 tablespoon Extra Virgin Olive Oil,2 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder - or red chilli flakes,Salt - to taste,4 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Lemon juice - adjustable"
Gawar Phali Masala Sabzi Recipe - Cluster Beans Gravy Sabzi,15,20,North Indian Recipes,Lunch,Vegetarian,"250 grams Gawar Phali (Kothavarangai / Cluster beans) - washed and cut into 1-1.5 inch pieces,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon SSP Asafoetida (Hing),1 Onion - chopped,4 Tomatoes - finely chopped,6 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 tablespoon Jaggery,1/2 cup Raw Peanuts (Moongphali),Salt - to taste,1/2 cup Water,1 teaspoon Mustard oil,Coriander (Dhania) Leaves - for garnish"
Corn only quiche recipe,20,40,Indian,Snack,Vegetarian,"2 cups All Purpose Flour (Maida),1/4 cup Ghee - melted,1/4 teaspoon Ajwain (Carom seeds),Salt - to taste,Sunflower Oil - for deep frying,2 cups Green peas (Matar),1 cup Sweet corn,2 Green Chillies - finely chopped,1 inch Ginger - grated,2 teaspoons Fennel seeds (Saunf),1 teaspoon Garam masala powder,1/2 teaspoon Chaat Masala Powder,Coriander (Dhania) Leaves - small bunch,Salt - to taste"
Lacha Onion Recipe - Masala Pickled Onions,10,0,North Indian Recipes,Side Dish,Vegetarian,"2 Onions - cut into thin rings,1 Lemon - juice extracted,Black Salt (Kala Namak) - as required,2 Onions - cut into thin rings,1/2 teaspoon Red Chilli powder,1/2 teaspoon Chaat Masala Powder,Salt - to taste,1 Lemon - juice extracted"
Masala Cornflakes Chicken Recipe,20,30,Indian,Appetizer,High Protein Non Vegetarian,"1 kg Boneless chicken - cut into bite sized pieces (1,2 teaspoon Red Chilli powder,2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Garam masala powder,1 tablespoon Ginger Garlic Paste,1/2 cup Coriander (Dhania) Leaves - chopped,Salt - to taste,2 cups Corn flakes - made to a coarse powder,2 Whole Eggs - beaten,Sunflower Oil - to fry"
Tofu Bhurji Recipe - Spicy Scrambled Tofu,10,30,North Indian Recipes,North Indian Breakfast,Vegan,"300 grams Tofu - crumbled,1 Onion - chopped,1 Red Bell pepper (Capsicum),1 Tomato - chopped,1 Green Chilli - chopped,1 teaspoon Cumin seeds (Jeera),2 teaspoon Red Chilli powder,1 teaspoon Black pepper powder,1 teaspoon Turmeric powder (Haldi),4 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,Sunflower Oil"
Savoury Bread Pudding Recipe,10,40,Continental,Main Course,Eggetarian,"6 Whole Wheat Brown Bread - preferably a day-old bread,1/2 Green zucchini - grated,1 Carrot (Gajjar) - grated,1 Red Bell pepper (Capsicum) - finely chopped,1 cup Spinach Leaves (Palak) - chopped,6 Button mushrooms - finely chopped,1 Onion - finely chopped,3 cloves Garlic - finely minced,2 teaspoon Extra Virgin Olive Oil,4 tablespoon Dijon Mustard,1 sprig Fresh Thyme leaves - or oregano or any herbs of choice,2 teaspoon Black pepper powder - crushed (or red chilli flakes),2 cups Milk,2 Whole Eggs - lightly whisked,1 cup Cheddar cheese - grated and for topping as well,4 tablespoon Butter - + 1 tablespoon for greasing the baking dish,Salt - to taste"
Stuffed Radish Paneer Paratha Recipe,10,20,North Indian Recipes,North Indian Breakfast,Vegetarian,"2 Mooli/ Mullangi (Radish) - washed and grated,200 grams Paneer (Homemade Cottage Cheese) - grated,1 Green Chilli - finely chopped,4 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,1 teaspoon Cumin powder (Jeera),2 teaspoon Sunflower Oil,Salt - to taste,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 cup Whole Wheat Flour,Ghee - to cook the parathas"
Orange Peppermint Green Tea Punch Recipe,20,5,Continental,Appetizer,Vegetarian,"2 cups Fresh orange juice,2 teaspoons Ginger - grated,2 tablespoons Tea Monk Seiki Peppermint Green Tea,4 cups Chilled water"
Zucchini Tater Tots Recipe - A Delicious Party Appetizer,10,30,Continental,Appetizer,Vegetarian,"3 Potatoes (Aloo) - skin peeled and boiled,2 Green zucchini - grated,1 tablespoon Red Chilli flakes,1 tablespoon Dried oregano,1 tablespoon Dried Thyme Leaves,1 tablespoon Black pepper powder,1/4 cup Cheddar cheese - grated,1/2 cup Whole Wheat Bread crumbs - bread crumbs,Salt - to taste"
Moringa Masoor Dal Recipe - Drumstick Leaves Dal,10,30,North Indian Recipes,Lunch,High Protein Vegetarian,"1 cup Pink Masoor Dal (Split),200 grams Drumstick Leaves (Moringa/Murungai Keerai) - cleaned chopped,1/4 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),1 inch Ginger - finely chopped,1 Dry Red Chilli,1 Tomato - chopped,1 Green Chilli - slit,2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,Salt - to taste,1 tablespoon Ghee,1 Lemon - juice extracted"
Gujarati Methi Na Dhebra Recipe,15,15,Gujarati Recipes?,Snack,Diabetic Friendly,"1/2 cup Bajra Flour ( Pearl Millet),1/2 cup Jowar Flour (Sorghum),1/2 cup Whole Wheat Flour - More for dusting,2 cups Methi Leaves (Fenugreek Leaves) - finely chopped,2 inch Ginger - ground to paste,3 Green Chillies - finely chopped,1 tablespoon Sesame seeds (Til seeds),2 teaspoons Red Chilli powder,2 teaspoons Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),5 tablespoons Curd (Dahi / Yogurt),1 teaspoon Sugar - (optional),Salt - to taste,1 tablespoon Sunflower Oil"
Pear And Walnut Salad Recipe,10,30,Continental,Appetizer,Vegetarian,
Rajasthani Gatte Ki Sabzi Recipe With Onion & Garlic,10,60,Rajasthani,Lunch,Vegetarian,"1 cup Gram flour (besan),1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Red Chilli powder,2 tablespoons Curd (Dahi / Yogurt),2 tablespoons Sunflower Oil,Salt - to taste,2 tablespoons Gram flour (besan),2 cups Curd (Dahi / Yogurt),4 cloves Garlic,1 Onion - finely chopped,1/4 teaspoon Asafoetida (hing),1 teaspoon Turmeric powder (Haldi),1/4 teaspoon Red Chilli powder,1 Bay leaf (tej patta) - torn,3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),Salt - to taste,4 sprig Coriander (Dhania) Leaves - chopped,1/2 teaspoon Mustard seeds,1 tablespoon Ghee"
Bengali Aloo Potol er Dalna Recipe - A Traditional Vegetable Side Dish,20,45,Bengali Recipes,Dinner,Vegetarian,"8 Pointed gourd (Parval) - peeled and cut into diced,3 Potatoes (Aloo) - peeled and diced,1 teaspoon Turmeric powder (Haldi),2 Bay leaves (tej patta) - torn,1 teaspoon Cumin seeds (Jeera),1 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,1 inch Ginger - grated,1 Tomato - finely chopped,2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,1 teaspoon Kashmiri Red Chilli Powder,1 Dry Red Chilli,1/4 teaspoon Asafoetida (hing),1 teaspoon Sugar,Salt - to taste,Sunflower Oil - for cooking"
Egg Sholay Kebab Recipe,10,15,South Indian Recipes,Appetizer,Eggetarian,"5 Whole Eggs - hard boiled,3 sprig Curry leaves,1 tablespoon Rice flour,1 tablespoon Gram flour (besan),3 tablespoons All Purpose Flour (Maida),1 tablespoon Kashmiri Red Chilli Powder,Salt - to taste,1 teaspoon Sambar Powder,2 inch Ginger - finely chopped,6 cloves Garlic - finely chopped,1 teaspoon Green Chilli - paste,1 teaspoon Garam masala powder,1 teaspoon Garam masala powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),Sunflower Oil - as required"
One Pot Methi Mushroom Brown Rice Pulao Recipe,5,20,Indian,Lunch,Vegetarian,"1 cup Brown Rice,250 grams Button mushrooms,1 cup Methi Leaves (Fenugreek Leaves),1 Onion,1 teaspoon Ginger Garlic Paste,2 Green Chillies,1 teaspoon Cumin seeds (Jeera),1 Bay leaf (tej patta),1/2 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),Salt - to taste,2 teaspoons Sunflower Oil"
Egg and Bread Fried Rice Recipe,10,20,Fusion,Dinner,Eggetarian,"1 cup Basmati rice - cooked,5 Whole Eggs,1 Onion,4 Whole Wheat Brown Bread,1 teaspoon Ginger Garlic Paste,1/2 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1/2 teaspoon Cumin seeds (Jeera),3 Whole Black Peppercorns,1 teaspoon Sambar Powder,Salt - as required,1 tablespoon Sunflower Oil"
Veg Mughlai Paratha Recipe,15,25,Mughlai,Lunch,Vegetarian,"2 cups Whole Wheat Flour,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Sunflower Oil,1 Onion - finely chopped,1 Red Bell pepper (Capsicum) - finely chopped,1 Green Bell Pepper (Capsicum) - finely chopped,1 Carrot (Gajjar) - grated,5 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,2 Green Chillies - finely chopped,2 cups Paneer (Homemade Cottage Cheese) - grated,1/2 teaspoon Garam masala powder,1 teaspoon Fennel seeds (Saunf) - crushed,1 teaspoon Red Chilli powder,1/4 cup Mint Leaves (Pudina) - finely chopped,Salt - to taste,1/4 cup Whole Wheat Flour,2 tablespoons Water"
Crispy Vegetable Tempura Recipe,10,10,Japanese,Appetizer,Vegetarian,"4 Baby corn - cut lengthwise,1 Carrot (Gajjar) - sliced lengthwise,1 cup Broccoli - cut into florets,1 Red Bell pepper (Capsicum) - cut into wedges,1/4 cup All Purpose Flour (Maida),1 Whole Egg,1 teaspoon Baking powder,Salt and Pepper - to taste,Ice cubes"
Andhra Style Stuffed Boils Recipe (Crispy Tapioke Snack),150,25,Andhra,Snack,Vegetarian,"1 cup Sabudana (Tapioca Pearls) - soaked for 2 hours,2 tablespoon Hung Curd (Greek Yogurt),1 cup Rice flour,1 teaspoon Cumin seeds (Jeera),1 tablespoon Red Chilli powder,1 sprig Curry leaves - chopped,2 Green Chillies - chopped,1 Onion - sliced,Salt - to taste"
Andhra Style Palakura Vepudu Recipe - Spinach Stir Fry Recipe,10,25,Andhra,Lunch,Vegetarian,"1 cup Spinach - washed and chopped,1 Onion - chopped,1 inch Ginger - chopped,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),Salt - to taste,1/2 teaspoon Cumin seeds (Jeera),2 cloves Garlic - sliced,1 sprig Curry leaves"
Papaya Orange Pomegranate Salad Recipe With Roasted Peanuts,20,0,Continental,Appetizer,Vegetarian,"1 cup Papaya - peeled and diced into chunks,1/4 cup Fresh Pomegranate Fruit Kernels,2 Oranges - peeled and diced,1 Cucumber - peeled and diced or chopped,1 teaspoon Honey,Salt and Pepper - to taste,2 teaspoons Lemon juice - (add more if needed),1/4 cup Roasted Peanuts (Moongphali) - crushed or whole or halved,Chaat Masala Powder - (optional)"
Paka Kela Ki Sabzi Recipe | Paka Kela nu Shaak | Gujarati Jain Recipe,10,20,Gujarati Recipes?,Dinner,Vegetarian,"3 cups Ripe Bananas - cubed,1/4 cup Gram flour (besan),1/4 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/4 teaspoon Cumin seeds (Jeera),1/4 teaspoon Mustard seeds,1 sprig Curry leaves - finely chopped,2 teaspoons Sunflower Oil,Salt - to taste"
Chocolate Tart Recipe,60,120,Continental,Dessert,Eggetarian,"2 cups All Purpose Flour (Maida) - plus more for dusting,3 tablespoons Sugar,1/4 teaspoon Salt,3/4 cup Butter (unsalted) - cold and cut into pea size pieces,2 tablespoons Water - temperature to be at ice cold plus more if needed,1 cup Heavy whipping cream - (I used amul cream in india),1/2 cup Milk,300 grams Dark chocolate - chopped (I used bournville),2 tablespoons Sugar,1/4 teaspoon Salt,2 Whole Eggs - at room temperature"
Navrang dal recipe - Navrang Dal (Recipe),10,30,North Indian Recipes,Lunch,High Protein Vegetarian,"2 tablespoons Green Moong Dal, 2 tablespoons White Urad Dal, 2 tablespoons Kali Urad Dal, 2 tablespoons Masoor Dal (Split), 2 tablespoons Masoor Dal, 2 Tablespoons Rajma, 2 Tablespoons Kabuli Chana, 1/4 Cup yellow moong dal - soaked for 20 minutes, 1 tablespoon arhar dal - soaked for 20 minutes, 1 onion - finely chopped, 1 tomato - finely chopped, 1 tablespoon ginger garlic paste, 1 green chili - Cut, 2 teaspoons Coriander Powder, 1 teaspoon Red Chilli Powder, 2 teaspoons Garam Masala Powder, 1 Tablespoon Kasoori Methi, 1 inch Ginger - Finely chopped (for garnish), 2 tablespoons Ghee, 1 Dal Sugar, 1 teaspoon cumin seeds, salt - as per taste"
Green Moong Dal Sundal Recipe - Green Moong Dal Sundal Recipe,420,20,South Indian Recipes,Side Dish,Vegetarian,"1 tsp sesame oil, 1 tsp rye, 1 tsp cumin, 1/4 tsp asafoetida, 2 sprig curry leaves, 2 green chillies - chopped, salt - as per taste, 2 tbsp coconut - tighten, 1 Cup sprouted moong, 1 tbsp lemon juice, 2 sprig coriander - chopped"
Chow Chow Sambar Recipe - Chow-Chow Sambar,10,30,South Indian Recipes,Lunch,High Protein Vegetarian,"1 cup arhar dal, 2 cups chow chow - chop, 30 grams tamarind - soaked in 1 cup water, 1 onion - thinly sliced, 2 tomatoes - chopped, 1 tablespoon sambar powder, 1/4 teaspoon turmeric powder , 4 sprigs of coriander - chopped, oil - according to use, salt - as per taste, 1 teaspoon sesame oil - or any oil, 1 teaspoon mustard, 1/4 teaspoon asafoetida, 1 red chili, 1 sprig Curry leaves"
Tamil Nadu Style White Paniyaram Recipe - Semi Sweet Rice & Dal Printers,30,30,Chettinad,Snack,Vegetarian,"1 cup Rice - soaked for 2 hours,2 tablespoon Black Urad Dal (Whole) - soaked for 2 hours,1/4 cup Milk,1 tablespoon Sugar,Salt - to taste,Sunflower Oil - for deep frying"
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy Recipe,20,40,North Indian Recipes,Lunch,Vegetarian,"250 grams Bhindi (Lady Finger/Okra),Sunflower Oil - for deep frying,2 tablespoons Gram flour (besan),Salt - as needed,1/2 teaspoon Red Chilli powder,1/2 teaspoon Chaat Masala Powder,1 tablespoon Water,Sunflower Oil - as required,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),1 tablespoon Ginger Garlic Paste,1 to 2 Green Chillies - finely chopped,1 Onion - thinly sliced,1/2 cup Curd (Dahi / Yogurt) - whisked,1 Tomato - finely chopped,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania)"
Thulli Recipe (Broken Wheat Halwa),10,30,Indian,Dessert,Vegetarian,"1 cup Broken Wheat (Dalia/ Godumai Rava),3 cups Water,1 tablespoon Fennel seeds (Saunf),1/2 tablespoon Cardamom Powder (Elaichi),1-1/2 cup Sugar,4 tablespoons Ghee,10 Cashew nuts,1 tablespoon Milk - lukewarm,Saffron strands - few"
Gulkand Chai Recipe - A Delicious Rose Flavored Indian Tea,0,25,North Indian Recipes,North Indian Breakfast,Vegetarian,"2 cups Water,1 teaspoon Tea leaves,1/4 cup Milk,2 tablespoons Gulkand"
Spinach And Tortellini Soup Recipe,20,30,Italian Recipes,Side Dish,Vegetarian,"1 cup All Purpose Flour (Maida),1 teaspoon Dried oregano,1 teaspoon Dried Thyme Leaves,1 teaspoon Parsley leaves,1 tablespoon Extra Virgin Olive Oil,teaspoon Red Chilli flakes,Salt - to taste,1 tablespoon Sunflower Oil,All Purpose Flour (Maida) - as required for rolling,10 teaspoon Cheese - grated,4 cloves Garlic,1 Cup Baby spinach,1/4 cup Parsley leaves,1 Onion,8 cups Vegetable stock,1/2 Tablespoon Black pepper powder,Salt - as required,Italian seasoning - as required,Extra Virgin Olive Oil - as required"
Chak-Hao Amubi Recipe (Black Rice Pudding),180,40,North East India Recipes,Dessert,Vegetarian,"3/4 cup Black Rice - soaked for 3-4 hours,2 liter Milk - full cream milk,1/2 cup Sugar,1 teaspoon Cardamom Powder (Elaichi),8-10 Cashew nuts - fried,10 Raisins - optional"
Four Cheese and Spinach Stuffed Mushrooms Recipe,10,50,Continental,Appetizer,Vegetarian,"12 Button mushrooms - (button or crimini variety),2 teaspoon Extra Virgin Olive Oil - for cooking,1/2 cup Onions - finely chopped,2 tablespoon Garlic - finely grated,2 cup Spinach Leaves (Palak) - roughly chopped,1/2 teaspoon White pepper powder,1/4 teaspoon Parsley leaves,1/2 teaspoon Basil leaves,1/2 teaspoon Black pepper powder,1/4 teaspoon Salt,1/2 teaspoon Garlic powder,2 teaspoon Parmesan cheese - grated  (reduced fat),1/2 cup Mascarpone Cheese,1/4 cup Britannia Cream Cheese - (reduced fat or fat free),2 tablespoon Mozzarella cheese - shredded (part-skimmed)"
Roasted Vegetable Pasta Primavera Recipe,10,50,Continental,Appetizer,Vegetarian,"12 Button mushrooms - (button or crimini variety),2 teaspoon Extra Virgin Olive Oil - for cooking,1/2 cup Onions - finely chopped,2 tablespoon Garlic - finely grated,2 cup Spinach Leaves (Palak) - roughly chopped,1/2 teaspoon White pepper powder,1/4 teaspoon Parsley leaves,1/2 teaspoon Basil leaves,1/2 teaspoon Black pepper powder,1/4 teaspoon Salt,1/2 teaspoon Garlic powder,2 teaspoon Parmesan cheese - grated  (reduced fat),1/2 cup Mascarpone Cheese,1/4 cup Britannia Cream Cheese - (reduced fat or fat free),2 tablespoon Mozzarella cheese - shredded (part-skimmed)"
Kashmiri Style Chicken Pulao Recipe,10,30,Kashmiri,One Pot Dish,Non Vegeterian,"1 cup Rice - washed and soaked in water,300 grams Chicken breasts - cut into small pieces,1 Mace (Javitri),1 inch Cinnamon Stick (Dalchini),3 Cloves (Laung),1 Mace (Javitri),1 inch Ginger,4 cloves Garlic - chopped,1 Onion - sliced,1 cup Curd (Dahi / Yogurt),1 tablespoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Black pepper powder,1 tablespoon Cashew nuts,5 Badam (Almond) - crushed,Salt - to taste,Sunflower Oil"
Stuffed Tomato With Stir-Fried Quinoa And Feta Recipe,10,30,Middle Eastern,Appetizer,Vegetarian,"4 Tomatoes - pulp scooped out,100 grams Quinoa - soaked in water for 2 hours,1 Red Bell pepper (Capsicum) - chopped finely,1 Yellow Bell Pepper (Capsicum) - chopped finely,100 grams Cheddar cheese - grated,50 grams Feta Cheese - cubed,2 teaspoon Black pepper powder,Salt - to taste"
Keeme Ja Bhalla Recipe - Sindhi Mutton Keema Balls In Gravy,15,40,Sindhi,Main Course,Non Vegeterian,"300 grams Mutton Kheema,1 tablespoon Garlic - finely chopped,1 tablespoon Ginger - finely chopped,2 Green Chillies,Salt - salt to taste,2 sprig Mint Leaves (Pudina) - finely chopped,1 Whole Egg,2 sprig Coriander (Dhania) Leaves - finely chopped,1/4 cup Gram flour (besan),2 tablespoons Sunflower Oil,1 tablespoon Garlic - finely chopped,1 tablespoon Ginger - finely chopped,2 Onions - finely chopped,1 cup Homemade tomato puree,1 teaspoon Red Chilli powder,Salt - to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Coriander Powder (Dhania)"
